ID	Choice	Relacao	Age	D_Senior	D_Male	Income	D_Wealth	License	QtdVeic	D_Veic	D_TripChain	Destino	D1_CT	D2_EDU	Frequence	D1_Turista	D2_Assiduo	D_Fds	D_Quinzenal	D_Mensal	Distance_1	TTime1_1	Cost_1	Distance_2	TTime1_2	Cost_2
91	2	1	20	0	1	8000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
103	2	1	23	0	0	3000	0	1	1	0	0	2	0	1	5	0	1	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
115	1	1	23	0	0	8000	1	1	2	1	1	8	1	0	5	0	1	0	0	0	10.7	0.28	3.57	12.4	1.22	18.7
119	2	1	25	0	0	7000	0	1	1	0	0	9	0	0	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
129	2	1	18	0	1	8000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	15.3	0.35	5.11	17	1.58	3.8
135	1	1	25	0	1	20000	1	1	2	1	0	8	1	0	0	1	0	0	0	1	15.9	0.35	5.31	21.8	1.87	3.8
139	2	1	20	0	0	12000	1	1	1	0	1	11	0	0	5	0	1	1	0	0	14.7	0.33	4.91	12.3	1.25	3.8
142	2	1	27	0	0	3000	0	1	1	0	0	6	0	1	5	0	1	0	0	0	11.4	0.3	3.81	14	1.32	22.7
149	2	1	19	0	0	4000	0	1	1	0	0	6	0	1	5	0	1	0	0	0	31.2	0.58	10.42	41.1	1.88	10.7
154	2	1	24	0	1	3000	0	1	2	1	0	2	0	1	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
157	2	1	20	0	0	30000	1	1	3	1	0	1	0	1	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
160	2	1	23	0	0	8000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
166	1	1	20	0	1	10000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
167	2	1	33	0	1	5000	0	1	1	0	1	6	0	1	5	0	1	0	0	0	22.8	0.45	7.62	22.7	2.08	10.5
178	2	1	22	0	1	10000	1	1	1	0	1	8	1	0	5	0	1	1	0	0	9.1	0.2	3.04	11	1.1	16.6
184	2	1	32	0	0	1000	0	1	1	0	0	1	0	1	4	0	1	0	0	0	36.7	0.7	12.26	55.8	5	29.8
186	1	1	23	0	1	22000	1	1	3	1	1	8	1	0	4	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
187	1	1	25	0	0	5000	0	1	1	0	1	6	0	1	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
189	1	1	24	0	0	14000	1	1	3	1	0	8	1	0	4	0	1	0	0	0	26.2	0.52	8.75	31.4	1.42	7
207	1	1	33	0	1	14000	1	1	1	0	1	2	0	1	2	1	0	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
212	2	6	55	1	0	5000	0	1	1	0	0	5	0	0	5	0	1	0	0	0	27	0.48	9.02	27.5	2.35	3.8
223	2	1	21	0	0	5000	0	1	1	0	1	6	0	1	5	0	1	0	0	0	14.7	0.33	4.91	12.3	1.25	3.8
226	2	1	19	0	0	4000	0	1	1	0	0	8	1	0	4	0	1	0	0	0	21.2	0.45	7.08	21	1.33	7
228	2	1	22	0	0	5000	0	1	1	0	0	2	0	1	5	0	1	0	0	0	19.7	0.5	6.58	21.79	2.1	17.8
236	2	1	23	0	0	4000	0	1	1	0	0	1	0	1	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
237	2	1	18	0	0	10000	1	1	1	0	0	6	0	1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
249	2	1	26	0	0	5000	0	1	2	1	1	6	0	1	5	0	1	0	0	0	36	0.63	12.02	38.4	3.57	29.9
250	2	1	23	0	0	10000	1	1	2	1	1	2	0	1	5	0	1	0	0	0	11.8	0.33	3.94	15.7	1.57	9.3
270	2	1	22	0	0	18000	1	1	2	1	0	6	0	1	4	0	1	0	0	0	27	0.52	9.02	31.5	2.7	14.2
274	2	1	21	0	0	16000	1	1	1	0	0	8	1	0	4	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
275	2	1	20	0	1	35000	1	1	3	1	0	1	0	1	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
279	2	1	20	0	0	6000	0	1	2	1	0	6	0	1	5	0	1	0	0	0	11.8	0.25	3.94	12.1	1.12	7
283	2	1	23	0	0	2000	0	1	1	0	0	8	1	0	4	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
284	1	1	22	0	1	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
286	2	1	24	0	0	4000	0	1	1	0	1	6	0	1	1	1	0	0	0	0	11.8	0.33	3.94	15.7	1.57	9.3
291	1	1	36	0	1	6000	0	1	1	0	1	6	0	1	5	0	1	0	0	0	12.9	0.35	4.31	14.6	1.43	18.69
296	1	1	25	0	1	5000	0	1	2	1	0	8	1	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
297	2	1	20	0	1	4000	0	1	1	0	0	8	1	0	5	0	1	1	0	0	21.1	0.4	7.05	21	1.38	7.5
299	2	1	24	0	0	5000	0	1	1	0	0	11	0	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
303	1	1	22	0	0	12000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	14.2	0.27	4.74	19	1.58	3.8
306	2	1	21	0	0	10000	1	1	1	0	0	2	0	1	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
307	2	1	27	0	1	5000	0	1	1	0	1	8	1	0	5	0	1	0	0	0	22.3	0.43	7.45	23.7	1.48	7
311	1	1	20	0	0	20000	1	1	3	1	0	2	0	1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
313	2	1	20	0	1	10000	1	1	3	1	0	2	0	1	5	0	1	0	0	0	22.8	0.45	7.62	22.7	2.08	10.5
320	2	1	22	0	0	7000	0	1	2	1	0	2	0	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
321	2	1	19	0	1	7000	0	1	1	0	0	8	1	0	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
327	1	1	24	0	0	8000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
332	2	1	25	0	0	35000	1	1	2	1	1	6	0	1	4	0	1	0	0	0	14.2	0.33	4.74	16.26	1.45	3.8
337	1	1	21	0	0	18000	1	1	3	1	0	2	0	1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
341	2	1	23	0	1	4000	0	1	3	1	1	8	1	0	4	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
343	2	1	25	0	0	3000	0	1	2	1	0	8	1	0	5	0	1	0	0	0	16.3	0.3	5.44	19.86	1.72	3.8
348	1	1	21	0	0	20000	1	1	3	1	0	9	0	0	5	0	1	1	0	0	13.1	0.38	4.38	14.7	1.33	3.8
362	1	1	22	0	1	20000	1	1	3	1	0	8	1	0	5	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
364	1	1	24	0	0	9000	1	1	1	0	1	8	1	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
382	2	1	18	0	1	35000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
389	2	1	21	0	0	2000	0	1	1	0	1	6	0	1	5	0	1	0	0	0	29.2	0.6	9.75	39.2	1.78	10.7
393	2	1	23	0	1	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
395	1	1	19	0	0	35000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
400	2	1	21	0	0	2000	0	1	1	0	0	2	0	1	4	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
403	1	1	22	0	1	9000	1	1	3	1	1	2	0	1	5	0	1	0	0	0	15.3	0.35	5.11	17	1.58	3.8
409	2	1	20	0	0	5000	0	1	1	0	0	1	0	1	5	0	1	1	0	0	14.9	0.33	4.98	18.9	1.32	12.4
412	2	1	20	0	1	3000	0	1	2	1	0	2	0	1	5	0	1	0	0	0	41.3	0.73	13.79	39.6	1.85	7
424	2	1	31	0	0	5000	0	1	1	0	1	6	0	1	5	0	1	0	0	0	21	0.42	7.01	22	1.95	10.5
428	2	1	20	0	1	3000	0	1	1	0	0	8	1	0	5	0	1	0	0	0	29.4	0.53	9.82	41.5	1.9	10.7
429	2	1	25	0	1	10000	1	1	2	1	1	11	0	0	5	0	1	0	0	0	9.3	0.23	3.11	9.8	1.02	3.8
435	2	1	53	1	1	6000	0	1	1	0	1	1	0	1	5	0	1	0	0	0	19.2	0.33	6.41	17.6	1.75	13.8
438	1	1	23	0	1	4000	0	1	3	1	1	8	1	0	5	0	1	0	0	0	11.2	0.22	3.74	12.8	0.93	7
442	2	1	19	0	0	10000	1	1	1	0	0	11	0	0	5	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
450	1	1	48	1	0	6000	0	1	1	0	0	6	0	1	5	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
454	2	1	19	0	1	7000	0	1	2	1	0	8	1	0	5	0	1	1	0	0	27	0.48	9.02	27.5	2.35	3.8
460	1	1	27	0	0	35000	1	1	4	1	1	6	0	1	2	1	0	0	0	0	13.8	0.4	4.61	17.5	1.83	16.59
464	2	1	25	0	1	10000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
468	2	1	30	0	1	2000	0	1	1	0	1	6	0	1	5	0	1	0	0	0	10.7	0.23	3.57	12.9	1.28	16.59
472	1	2	28	0	1	12000	1	1	1	0	0	8	1	0	1	1	0	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
474	2	1	22	0	1	2000	0	1	1	0	0	8	1	0	5	0	1	1	0	0	11.4	0.3	3.81	13.3	1.28	3.8
492	2	4	52	1	0	6000	0	1	2	1	0	6	0	1	5	0	1	0	0	0	8.4	0.25	2.81	9.7	1.02	3.8
493	1	1	20	0	0	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
503	1	1	27	0	0	5000	0	1	1	0	0	8	1	0	5	0	1	0	0	0	12.6	0.33	4.21	14.5	1.38	18.69
515	2	4	27	0	1	9000	1	1	1	0	0	6	0	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
516	2	1	21	0	0	8000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
520	2	1	42	0	1	4000	0	1	1	0	0	6	0	1	3	0	0	0	0	0	16.1	0.37	5.38	16	1.23	7.5
527	2	1	19	0	0	9000	1	1	1	0	1	8	1	0	4	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
528	2	1	23	0	1	7000	0	1	1	0	0	2	0	1	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
529	2	1	20	0	0	20000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	19.7	0.5	6.58	21.79	2.1	17.8
537	1	1	20	0	0	4000	0	1	1	0	0	8	1	0	5	0	1	0	0	0	13.9	0.28	4.64	24.7	1.55	10.7
538	2	1	23	0	0	4000	0	1	1	0	0	2	0	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
541	2	1	20	0	0	10000	1	1	1	0	0	2	0	1	2	1	0	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
542	2	1	20	0	0	10000	1	1	4	1	0	6	0	1	2	1	0	1	0	0	11	0.27	3.67	12.9	1.33	16.59
568	2	1	25	0	1	3000	0	1	1	0	1	6	0	1	5	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
571	2	1	19	0	0	10000	1	1	1	0	0	6	0	1	5	0	1	0	0	0	9.3	0.23	3.11	9.8	1.02	3.8
573	2	1	22	0	0	4000	0	1	2	1	0	2	0	1	5	0	1	0	0	0	16.1	0.37	5.38	16	1.23	7.5
577	2	1	21	0	0	4000	0	1	1	0	0	2	0	1	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
582	2	1	23	0	1	3000	0	1	1	0	1	1	0	1	5	0	1	0	0	0	12.6	0.33	4.21	14.5	1.38	18.69
583	2	1	24	0	0	22000	1	1	1	0	0	2	0	1	4	0	1	0	0	0	13.5	0.4	4.51	16.4	1.63	3.8
589	1	7	59	1	1	20000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
595	1	6	26	0	1	10000	1	1	1	0	0	10	0	0	5	0	1	0	0	0	9.3	0.23	3.11	9.8	1.02	3.8
596	1	7	61	1	1	10000	1	1	1	0	0	1	0	1	2	1	0	0	0	0	14.2	0.27	4.74	19	1.58	3.8
601	1	7	44	0	1	14000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
602	1	7	58	1	0	30000	1	1	2	1	0	6	0	1	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
604	1	7	51	1	0	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
606	1	7	44	0	0	7000	0	1	1	0	0	8	1	0	4	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
608	1	7	44	0	0	12000	1	1	1	0	0	8	1	0	3	0	0	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
609	1	2	27	0	0	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14	0.32	4.68	17.4	1.58	5.4
612	1	2	25	0	0	18000	1	1	2	1	0	8	1	0	0	1	0	0	1	0	16.2	0.38	5.41	17.3	1.45	3.8
617	2	2	23	0	0	5000	0	1	1	0	0	8	1	0	3	0	0	0	0	0	12.3	0.33	4.11	20.7	1.38	7.5
621	2	6	27	0	0	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	11.4	0.3	3.81	14	1.32	22.7
623	1	7	52	1	1	6000	0	1	1	0	0	8	1	0	3	0	0	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
625	1	7	53	1	0	16000	1	1	1	0	0	1	0	1	5	0	1	0	0	0	14.2	0.33	4.74	16.26	1.45	3.8
626	1	7	35	0	1	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	12.6	0.27	4.21	12.5	1.17	3.8
627	1	4	31	0	1	9000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.2	0.3	4.74	15.8	1.37	3.8
633	2	4	50	1	0	26000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
634	1	2	26	0	0	10000	1	1	2	1	1	8	1	0	3	0	0	0	0	0	14.1	0.4	4.71	17.6	1.73	16.59
635	1	7	30	0	0	6000	0	1	2	1	0	8	1	0	5	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
638	1	7	49	1	1	35000	1	1	1	0	0	1	0	1	4	0	1	0	0	0	15.9	0.35	5.31	21.8	1.87	3.8
642	1	6	54	1	1	20000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
643	1	7	52	1	1	24000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	9.9	0.23	3.31	11.96	1.1	3.8
644	2	2	24	0	0	5000	0	1	2	1	1	8	1	0	5	0	1	0	0	0	14.9	0.33	4.98	18.9	1.32	12.4
647	1	4	33	0	0	10000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	11.6	0.28	3.87	13.4	1.15	3.8
650	1	2	27	0	1	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
651	1	7	42	0	0	18000	1	1	1	0	0	8	1	0	4	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
653	2	1	26	0	1	3000	0	1	1	0	0	8	1	0	5	0	1	0	0	0	18	0.32	6.01	19.9	1.68	3.8
656	1	2	68	1	1	8000	1	1	1	0	0	8	1	0	0	1	0	0	1	0	18.5	0.32	6.18	21.1	1.7	6.7
657	2	3	31	0	1	7000	0	1	1	0	0	3	0	0	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
664	2	4	38	0	0	5000	0	1	1	0	0	2	0	1	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
665	2	4	39	0	1	6000	0	1	1	0	0	2	0	1	5	0	1	0	0	0	11.8	0.33	3.94	15.7	1.57	9.3
666	2	2	26	0	0	8000	1	1	1	0	0	8	1	0	4	0	1	0	0	0	18.9	0.43	6.31	20.1	1.45	10.8
671	2	1	19	0	1	8000	1	1	3	1	0	8	1	0	5	0	1	0	0	0	53.4	0.77	17.84	55.7	4.45	28.45
673	1	2	47	1	1	18000	1	1	2	1	0	8	1	0	2	1	0	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
675	2	2	28	0	1	20000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
678	1	3	25	0	1	20000	1	1	2	1	0	8	1	0	0	1	0	0	0	1	11.8	0.33	3.94	15.7	1.57	9.3
680	2	2	23	0	0	4000	0	1	1	0	0	8	1	0	5	0	1	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
682	1	5	27	0	1	9000	1	1	1	0	0	10	0	0	5	0	1	0	0	0	14.7	0.38	4.91	14.9	1.65	11.4
684	1	5	27	0	1	7000	0	1	1	0	0	10	0	0	5	0	1	1	0	0	27.4	0.45	9.15	27.17	2.25	12.1
685	2	5	26	0	1	6000	0	1	1	0	0	10	0	0	5	0	1	0	0	0	22.8	0.45	7.62	22.7	2.08	10.5
686	1	1	23	0	1	10000	1	1	3	1	1	8	1	0	4	0	1	0	0	0	28.8	0.53	9.62	25.5	2.43	10.5
688	2	1	24	0	1	35000	1	1	1	0	0	8	1	0	3	0	0	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
692	2	4	51	1	0	16000	1	1	1	0	0	6	0	1	0	1	0	0	1	0	13.5	0.4	4.51	16.4	1.63	3.8
694	2	1	20	0	1	3000	0	1	1	0	0	8	1	0	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
696	1	1	23	0	1	18000	1	1	3	1	0	8	1	0	4	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
698	1	7	46	1	0	22000	1	1	1	0	0	9	0	0	0	1	0	0	1	0	17.9	0.4	5.98	28.1	1.78	3.8
702	1	4	54	1	0	30000	1	1	2	1	0	6	0	1	5	0	1	0	0	0	11.6	0.28	3.87	13.4	1.15	3.8
703	1	1	20	0	1	35000	1	1	4	1	0	8	1	0	5	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
707	1	1	22	0	1	18000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
708	2	1	22	0	1	8000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
711	2	1	24	0	0	10000	1	1	2	1	0	8	1	0	3	0	0	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
713	1	1	22	0	1	20000	1	1	3	1	1	8	1	0	4	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
715	1	1	20	0	0	35000	1	1	2	1	0	8	1	0	4	0	1	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
716	1	7	55	1	1	35000	1	1	2	1	0	9	0	0	5	0	1	0	0	0	22.8	0.45	7.62	22.7	2.08	10.5
717	1	1	21	0	0	6000	0	1	1	0	0	8	1	0	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
720	1	1	22	0	1	20000	1	1	4	1	1	8	1	0	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
724	1	1	22	0	0	5000	0	1	1	0	1	8	1	0	4	0	1	0	0	0	12.4	0.25	4.14	21.1	1.37	10.7
730	1	4	60	1	0	20000	1	1	1	0	0	6	0	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
732	1	3	25	0	1	10000	1	1	3	1	1	8	1	0	5	0	1	0	0	0	12.2	0.25	4.07	11.3	1.08	3.8
734	2	2	27	0	1	24000	1	1	3	1	1	8	1	0	1	1	0	0	0	0	36	0.63	12.02	38.4	3.57	29.9
736	1	7	58	1	1	18000	1	1	2	1	0	6	0	1	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
737	1	7	57	1	1	35000	1	1	2	1	1	9	0	0	4	0	1	0	0	0	18.1	0.37	6.05	18.7	1.8	3.8
738	2	1	23	0	1	7000	0	1	1	0	1	8	1	0	3	0	0	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
739	1	1	22	0	1	22000	1	1	3	1	0	8	1	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
740	2	4	50	1	0	5000	0	1	1	0	0	11	0	0	0	1	0	0	0	1	11.8	0.33	3.94	15.7	1.57	9.3
741	1	7	25	0	1	35000	1	1	2	1	1	8	1	0	3	0	0	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
742	1	1	23	0	1	20000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
743	2	1	19	0	1	30000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	19.7	0.5	6.58	21.79	2.1	17.8
744	1	7	62	1	1	20000	1	1	1	0	0	8	1	0	3	0	0	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
746	1	7	55	1	0	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
747	1	7	37	0	0	7000	0	1	1	0	0	11	0	0	2	1	0	1	0	0	13.5	0.4	4.51	16.4	1.63	3.8
748	2	1	23	0	0	35000	1	1	4	1	1	8	1	0	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
750	1	1	22	0	1	1000	0	1	4	1	0	8	1	0	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
751	1	1	23	0	0	2000	0	1	1	0	0	8	1	0	4	0	1	0	0	0	27	0.52	9.02	31.5	2.7	14.2
752	1	4	50	1	0	8000	1	1	1	0	0	7	0	0	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
760	1	2	26	0	1	8000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
762	2	4	32	0	0	5000	0	1	1	0	0	9	0	0	5	0	1	0	0	0	11.8	0.33	3.94	15.7	1.57	9.3
763	1	1	25	0	1	14000	1	1	3	1	1	8	1	0	5	0	1	0	0	0	36	0.63	12.02	38.4	3.57	29.9
764	1	7	37	0	0	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	15.9	0.35	5.31	21.8	1.87	3.8
765	1	7	64	1	0	14000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	18.2	0.45	6.08	20.1	1.72	3.8
767	1	1	19	0	1	6000	0	1	3	1	0	8	1	0	4	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
780	1	1	27	0	1	18000	1	1	3	1	1	8	1	0	5	0	1	1	0	0	27.4	0.45	9.15	27.17	2.25	12.1
783	1	7	58	1	0	12000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
786	2	1	23	0	0	7000	0	1	1	0	1	6	0	1	5	0	1	0	0	0	13.3	0.37	4.44	17	1.65	9.3
790	1	7	63	1	1	35000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
